,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,142,2505,0
1,5575-GNVDE,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,498,1466,0
2,3668-QPYBK,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,436,157,1
3,7795-CFOCW,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,266,1400,0
4,9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,729,925,1
5,9305-CDSKC,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,1274,6104,1
6,1452-KIOVK,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1075,1550,0
7,6713-OKOMC,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,140,2609,0
8,7892-POOKP,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,1371,2646,1
9,6388-TABGU,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,482,3022,0
10,9763-GRSKD,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,375,4823,0
11,7469-LKBCI,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,8,2836,0
12,8091-TTVAX,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,1288,4693,0
13,0280-XJGEX,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,1349,4265,1
14,5129-JLPIS,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,1385,2337,0
15,3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1519,5959,0
16,8191-XWSZG,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,42,46,0
17,9959-WOFKT,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,1409,5704,0
18,4190-MFLUW,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,463,4416,1
19,4183-MYFRB,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1094,1433,0
20,8779-QRDMV,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,237,3340,1
21,1680-VDCWW,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,25,1651,0
22,1066-JKSGK,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,32,1609,1
23,3638-WEABW,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,541,3041,0
24,6322-HRPFA,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,535,2567,0
25,6865-JZNKO,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,465,959,0
26,6467-CHFZW,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,1268,4019,1
27,8665-UTDHZ,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,148,2592,1
28,5248-YGIJN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,1098,5135,0
29,8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,622,184,1
30,3841-NFECX,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,1215,5354,0
31,4929-XIHVW,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,1198,1360,0
32,6827-IEAUQ,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,650,1449,0
33,7310-EGVHZ,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,33,1610,0
34,3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,310,3815,0
35,6234-RAAPL,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,1279,5644,0
