,t1_towerKills,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_towerKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
0,11,1,3,2,5,0,1,0,2,1,1,1,1,2,1
1,10,4,2,0,2,0,0,0,1,1,1,0,1,1,1
2,8,1,1,1,2,0,1,0,2,1,1,1,2,0,1
3,9,2,2,1,0,0,0,0,1,1,1,1,1,0,1
4,9,2,3,1,3,0,1,0,2,1,1,1,1,0,1
5,8,1,1,1,6,0,3,0,2,2,1,1,2,0,1
6,10,2,2,1,2,0,0,0,1,2,1,1,1,1,1
7,6,0,0,0,0,0,2,0,1,1,0,0,2,1,1
8,0,0,0,0,8,1,2,0,2,2,2,0,2,2,2
9,10,1,2,0,8,3,2,1,2,2,2,2,2,0,2
10,0,0,1,0,10,2,1,1,2,2,2,2,2,2,2
11,10,1,0,0,2,0,2,0,1,2,1,0,2,1,1
12,6,0,2,1,3,0,1,0,1,1,0,1,2,1,1
13,7,1,1,0,3,0,2,0,2,2,1,0,1,0,1
14,8,1,2,1,9,2,2,0,2,2,1,1,2,0,2
15,7,1,2,0,0,0,0,0,2,1,1,0,1,0,1
16,3,0,1,0,9,3,4,2,2,2,2,2,2,0,2
17,11,6,2,1,2,0,0,0,2,1,1,1,1,1,1
18,0,0,0,0,11,3,2,0,1,2,2,0,2,0,2
19,4,0,3,0,11,2,1,1,1,2,2,2,1,1,2
20,5,1,1,0,11,3,2,1,1,1,1,2,1,2,2
21,2,0,1,0,9,1,2,1,1,2,2,2,1,0,2
22,2,0,0,0,10,2,2,0,1,2,2,0,2,0,2
23,11,3,3,1,2,0,0,0,1,1,1,1,1,1,1
24,2,0,1,0,11,3,0,0,2,2,2,0,1,0,2
25,2,0,0,0,10,2,3,0,2,2,2,0,2,1,2
26,10,3,2,1,10,2,3,1,2,2,1,1,2,2,2
27,0,0,0,0,5,0,2,0,2,2,0,0,2,0,2
28,4,0,1,0,7,2,3,1,1,2,2,2,2,2,2
29,10,3,2,1,2,0,1,0,1,1,1,1,1,1,1
30,4,0,2,0,9,1,0,1,2,1,2,2,1,1,2
31,9,2,2,0,0,0,0,1,1,1,1,2,1,0,1
32,10,2,2,0,1,0,1,1,1,1,1,2,1,0,1
33,11,3,2,1,7,1,3,1,1,2,2,2,2,0,1
34,3,0,3,0,11,3,1,1,1,1,2,2,1,1,2
35,1,0,0,0,11,3,1,0,2,2,2,0,2,0,2
36,2,0,0,0,10,2,2,0,2,2,2,0,2,0,2
37,10,2,2,0,0,0,1,0,1,1,1,0,1,0,1
38,10,2,4,0,3,0,0,0,2,1,1,0,1,0,1
39,8,1,2,0,0,0,0,0,2,1,1,0,1,1,1
40,5,0,3,0,10,1,1,2,2,1,2,2,1,2,2
41,0,0,0,0,11,3,1,0,2,2,2,0,2,2,2
42,8,1,2,1,4,0,1,0,2,1,1,1,1,1,1
43,0,0,0,0,6,1,1,0,2,2,2,0,2,0,2
44,6,3,2,1,8,1,1,1,1,2,1,1,1,1,2
45,9,2,2,0,2,0,1,0,1,2,1,0,2,0,1
46,8,2,1,1,2,0,1,1,1,2,1,2,2,2,1
