,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
0,1,3,2,0,1,0,2,1,1,1,1,2,1
1,4,2,0,0,0,0,1,1,1,0,1,1,1
2,1,1,1,0,1,0,2,1,1,1,2,0,1
3,2,2,1,0,0,0,1,1,1,1,1,0,1
4,2,3,1,0,1,0,2,1,1,1,1,0,1
5,1,1,1,0,3,0,2,2,1,1,2,0,1
6,2,2,1,0,0,0,1,2,1,1,1,1,1
7,0,0,0,0,2,0,1,1,0,0,2,1,1
8,0,0,0,1,2,0,2,2,2,0,2,2,2
9,1,2,0,3,2,1,2,2,2,2,2,0,2
10,0,1,0,2,1,1,2,2,2,2,2,2,2
11,1,0,0,0,2,0,1,2,1,0,2,1,1
12,0,2,1,0,1,0,1,1,0,1,2,1,1
13,1,1,0,0,2,0,2,2,1,0,1,0,1
14,1,2,1,2,2,0,2,2,1,1,2,0,2
15,1,2,0,0,0,0,2,1,1,0,1,0,1
16,0,1,0,3,4,2,2,2,2,2,2,0,2
17,6,2,1,0,0,0,2,1,1,1,1,1,1
18,0,0,0,3,2,0,1,2,2,0,2,0,2
19,0,3,0,2,1,1,1,2,2,2,1,1,2
20,1,1,0,3,2,1,1,1,1,2,1,2,2
21,0,1,0,1,2,1,1,2,2,2,1,0,2
22,0,0,0,2,2,0,1,2,2,0,2,0,2
23,3,3,1,0,0,0,1,1,1,1,1,1,1
24,0,1,0,3,0,0,2,2,2,0,1,0,2
25,0,0,0,2,3,0,2,2,2,0,2,1,2
26,3,2,1,2,3,1,2,2,1,1,2,2,2
27,0,0,0,0,2,0,2,2,0,0,2,0,2
28,0,1,0,2,3,1,1,2,2,2,2,2,2
29,3,2,1,0,1,0,1,1,1,1,1,1,1
30,0,2,0,1,0,1,2,1,2,2,1,1,2
31,2,2,0,0,0,1,1,1,1,2,1,0,1
32,2,2,0,0,1,1,1,1,1,2,1,0,1
33,3,2,1,1,3,1,1,2,2,2,2,0,1
